Dealer ID,GCD Code,Assigned Sales Officer,Assigned Sales Manager,Dealership Name,Original Onboarding Date,Original Approved Credit Limit (in PHP),Original Approved Drawing Limit (in PHP),"Current Approved 
Credit Limit",Current Approved Drawing Power,Total Outstanding Amount,Total Available Credit Limit,Total Available Drawing Power,Lifetime TXN's,No. of open Loans,Netbank,Credit Line Status,Reason for CL Hold Status,Netbank - Approved Credit Limit,Netbank - Approved Drawing Power,Netbank - Outstanding Principal,Netbank - Available Credit Limit,Netbank - Available Drawing Power,Finsso,Credit Line Status,Reason for CL Hold Status,Finsso - Approved Credit Limit,Finsso - Approved Drawing Power,Finsso - Outstanding Principal,Finsso - Available Credit Limit,Finsso - Available Drawing Power,L3M Average Repayment Delay,% Utilization ,% Repayment,% Repayment Efficiency,80% LTV Qualified?,Qualified for Automatic CL Increase,"Date 
of Next 
CL Increase","Amount 
of Next 
CL/DP Increase","Remaining 
CL/DP
after Increase",Total Paid Renewal 1 in the last 90 days,Total Paid Renewal 2 in the last 90 days,Total Maturity Payments Made in the last 90 days,Total Payments made in the last 90 days,Total Repayments due in the last 90 days,First TXN,Last TXN,Pending Remittance w/ Netbank,Outstanding Netbank Booking,Credit Line Status,Reason for Hold / Blacklisting,Date of Blacklisting,Reassessement Date,December 2025 Blacklist,% Repayment (L3M),Effective Risk Pricing,Same Group,Onboarded Month,L6M Average Repayment Delay,Netbank Credit Line ID,Finsso Credit Line ID,Onboarding (Regular / Express),Total Number of CL Increase (Lifetime),Total Number of Automatic CL Increase (Lifetime),Credit Line Expiry Date,Credit Line Expiry Date,"(for Onboarded Masterlist)
Original Credit Line issuance Date","(for Onboarded Masterlist)
Original CLA Signed Date",Available CL w/ Netbank
IF0001,GCD3943,Marlon Llamas,Albert Dalupang,EMC PRADO AUTO INC,45316,5000000,3000000,5000000,3000000,0,5000000,3000000,1,0,Yes,Hold,Expired Credit Line,5000000,3000000,0,5000000,3000000,No,,,0,0,0,0,0,0,0,0,0,No,No,,5000000,,0,0,0,0,0,45317,45394,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Jan'24,0,IF0001-NB,,Regular Onboarding,,,45679,Expired Credit Line,45313,45316,5000000
IF0002,GCD3944,Marlon Llamas,Albert Dalupang,DCP-DASH CAR PRO TRADING CORP (Dashcarr Pro),45342,2000000,2000000,20000000,20000000,36405481.32,-16405481.32,-16405481.32,1,59,Yes,Hold,Maturity DPD,20000000,20000000,36405481.32,-16405481.32,-16405481.32,Yes,Hold,Expired Credit Line,20000000,20000000,0,20000000,20000000,23.33333333,0.0707222885,0,0,No,No,45885,,,0,0,0,0,21,45345,45345,0,36405481.32,Blacklisted,15 DPD,46142,,,0,0.0175,DCP Family,Feb'24,98.20833333,IF0002-NB,IF0002-FFC,Regular Onboarding,2,1,46269,Expired Credit Line,45337,45342,-16405481.32
IF0003,GCD1739,Elvira Ladea,Marah Luriely A. Villaruz,OKSCARS AUTOFINANCING CAR TRADING,45342,3000000,2000000,3000000,2000000,0,3000000,2000000,1,0,Yes,Hold,Expired Credit Line,3000000,2000000,0,3000000,2000000,No,,,0,0,0,0,0,0,0,0,0,No,No,,3000000,,0,0,0,0,0,45348,45348,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Feb'24,0,IF0003-NB,,Regular Onboarding,,,45707,Expired Credit Line,45338,45342,3000000
IF0004,GCD213,Marlon Llamas,Albert Dalupang,YOCARS AUTOMOTIVE CARE SERVICES,45349,3000000,2000000,5000000,5000000,6768000,-1768000,-1768000,1,11,Yes,Hold,Maturity DPD,5000000,5000000,4778000,222000,222000,Yes,Hold,Maturity DPD,5000000,5000000,1990000,3010000,3010000,33.2,0.248,0,0,No,No,45995,7500000,,0,0,0,0,13,45352,46202,0,4778000,Open,Finsso: Open | Netbank: Expired CL,,,,0,0.0175,,Feb'24,49.5,IF0004-NB,IF0004-FFC,Regular Onboarding,2,2,46287,Soon Expiry,45349,45349,222000
IF0005,GCD4058,Marlon Llamas,Albert Dalupang,RANDALL AUTO TRADING,45362.38819,500000,500000,750000,750000,0,750000,750000,1,0,Yes,Hold,Expired Credit Line,750000,750000,0,750000,750000,No,,,0,0,0,0,0,0,0,0,0,No,No,45526,1125000,,0,0,0,0,0,45366,45468,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Mar'24,0,IF0005-NB,,Regular Onboarding,1,2,45798,Expired Credit Line,45351.44583,45362.38819,750000
IF0006,GCD2174,Rhoyland Alagon,Marah Luriely A. Villaruz,MJM MOTOR SHOP,45357,300000,300000,300000,300000,165000,135000,135000,1,1,Yes,Blacklisted,Multiple DPD / HIstory of Repossession,300000,300000,165000,135000,135000,No,,,0,0,0,0,0,0,0,0,0,No,No,,300000,,0,0,0,0,0,45373,45373,0,0,Blacklisted,15 DPD,45402,,,0,0.0175,,Mar'24,0,IF0006-NB,,Regular Onboarding,,,45721,Expired Credit Line,45357,45357,135000
IF0007,GCD1716,Marlon Llamas,Albert Dalupang,RAMP AUTO TRADING,45358,2000000,2000000,6750000,6750000,8048000,-1298000,-1298000,1,13,Yes,Hold,Pending CLA Signature,6750000,6750000,5000000,1750000,1750000,Yes,Hold,Maturity DPD,6750000,6750000,3048000,3702000,3702000,0,0,0,0,No,No,46343,,,0,0,0,0,13,45371,46168,0,5000000,Blacklisted,15 DPD,46184,,,0,0.0175,,Mar'24,89.19047619,IF0007-NB,IF0007-FFC,Regular Onboarding,3,3,46615,,45358,45358,1750000
IF0008,GCD2134,Marlon Llamas,Albert Dalupang,JAYJAY CAR TRADING,45364,5000000,5000000,10000000,10000000,0,10000000,10000000,1,0,Yes,Hold,Expired Credit Line,10000000,10000000,0,10000000,10000000,No,,,0,0,0,0,0,0,0,0,0,No,No,45456,,,0,0,0,0,0,45378,45590,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Mar'24,0,IF0008-NB,,Regular Onboarding,,,45728,Expired Credit Line,45364,45364,10000000
IF0009,GCD1912,Rexcell Juegos,Albert Dalupang,MIKMIK'S CAR TRADING,45364,1200000,800000,1200000,1000000,0,1200000,1000000,0,0,Yes,Hold,Expired Credit Line,1200000,800000,0,1200000,800000,Yes,Open,,1200000,1000000,0,1200000,1000000,0,0,0,0,No,No,45456,1800000,,0,0,0,0,0,,,0,0,Open,Finsso: Open | Netbank: Expired CL,,,,0,0.0175,,Mar'24,0,IF0009-NB,IF0009-FFC,Regular Onboarding,,,46514,,45364,45364,1200000
IF0010,GCD2868,Marlon Llamas,Albert Dalupang,GARAGE888 AUTO TRADING,45401,1500000,750000,2250000,2250000,0,2250000,2250000,1,0,Yes,Hold,Expired Credit Line,2250000,2250000,0,2250000,2250000,No,,,0,0,0,0,0,0,0,0,0,No,No,45556,3375000,,0,0,0,0,0,45436,45439,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Apr'24,0,IF0010-NB,,Regular Onboarding,1,1,45828,Expired Credit Line,45400,45401,2250000
